year,make,model,parent,sales,msrp,curbweight,hp,mpg,yearssincedesign,footprint,marketsize
1980,chevrolet,chevrolet c-10,gm,301562,15.836868,3483,130,15.5,7,15283.2,22312000
1980,chevrolet,chevrolet c-20,gm,71666,18.198732,4039,150,13,7,16835.4,22312000
1980,chevrolet,chevrolet c-30,gm,49633,19.237263,4405,115,13,7,16835.4,22312000
1980,chevrolet,chevrolet el camino,gm,41051,17.004854,3748,115,18,2,14031.36,22312000
1980,dodge,dodge d-50,chrysler,44640,14.033105,2480,93,22,8,11999,22312000
1980,dodge,dodge d150,chrysler,48394,15.644121,3405,90,17,8,15343.5,22312000
1980,dodge,dodge d200,chrysler,8693,17.755703,3855,90,17,8,16933.5,22312000
1980,dodge,dodge d300,chrysler,4037,18.831633,4045,130,15,8,18412.199,22312000
1980,dodge,dodge w150,chrysler,11739,15.644121,3985,120,13,0,15343.5,22312000
1980,dodge,dodge w200,chrysler,5168,17.755703,4365,120,13,0,16710.9,22312000
1980,dodge,dodge w300,chrysler,548,18.831633,4410,130,11,0,18412.199,22312000
1980,ford,ford courier,ford,77375,14.510656,2712.5,77,27,3,11569.95,22312000
1980,ford,ford f100,ford,148838,15.963448,3390,115,18,0,14498.16,22312000
1980,ford,ford f150,ford,192802,16.389215,3605,115,16.5,0,14664.14,22312000
1980,ford,ford f250,ford,79203,17.934067,4020,117,16,0,16080.76,22312000
1980,ford,ford f350,ford,54971,19.473162,4350,117,17,0,17763.721,22312000
1980,gmc,gmc c-1500,gm,63588,15.836868,3483,130,15.5,7,15283.2,22312000
1980,gmc,gmc c-2500,gm,18958,17.140064,4241.5,150,13,7,16835.4,22312000
1980,gmc,gmc c-3500,gm,22224,19.237263,4605,115,13,7,16755.801,22312000
1980,gmc,gmc caballero,gm,4717,17.004854,3748,115,18,2,14031.36,22312000
1980,jeep,jeep j10,renault,6988,19.775229,3724,114,14,4,15188.25,22312000
1980,jeep,jeep j20,renault,1668,22.545601,4335,150,12,4,16135.05,22312000
1980,subaru,subaru brat,subaru,12003,15.529049,2200,71,23,2,10052.8,22312000
1981,chevrolet,chevrolet c-10,gm,283830.31,17.721279,3483,130,19,8,15299.12,22948000
1981,chevrolet,chevrolet c-20,gm,68481.602,23.332973,4039,150,15,8,16827.439,22948000
1981,chevrolet,chevrolet c-30,gm,45108.016,24.565826,4405,115,13,8,16827.439,22948000
1981,chevrolet,chevrolet el camino,gm,33115.777,21.999773,3748,115,19,3,14495.04,22948000
1981,dodge,dodge d150,chrysler,41879,20.360313,3405,90,18,9,15343.5,22948000
1981,dodge,dodge d200,chrysler,10944.858,20.589682,3855,90,18,9,16933.5,22948000
1981,dodge,dodge d300,chrysler,4312.1787,23.228716,4045,140,15,9,16933.5,22948000
1981,dodge,dodge ram-50,chrysler,25175,16.016659,2520,90,22,0,11999,22948000
1981,dodge,dodge w150,chrysler,8318.6113,22.093605,3985,90,16,1,15423,22948000
1981,dodge,dodge w250,chrysler,4701.5728,22.928974,4365,120,13,0,17013,22948000
1981,dodge,dodge w350,chrysler,641.77911,24.962008,4410,140,11,0,16933.5,22948000
1981,ford,ford courier,ford,63925,16.359407,2712.5,77,27,4,11569.95,22948000
1981,ford,ford f100,ford,150563.95,19.865088,3390,115,20,1,14498.16,22948000
1981,ford,ford f150,ford,185500.31,21.763889,3605,115,19,1,14664.14,22948000
1981,ford,ford f250,ford,63354.34,23.114033,4020,115,17.5,1,16080.76,22948000
1981,ford,ford f350,ford,32715.391,25.328215,4350,115,17,1,17794.6,22948000
1981,gmc,gmc c-1500,gm,50069.691,19.454571,3483,130,19,8,15299.12,22948000
1981,gmc,gmc c-2500,gm,16553.969,23.332973,4241.5,150,15,8,16827.439,22948000
1981,gmc,gmc c-3500,gm,15418.414,23.959826,4605,115,13,8,16855.301,22948000
1981,gmc,gmc caballero,gm,3964.2231,21.999773,3748,115,19,3,14495.04,22948000
1981,isuzu,isuzu p'up,gm,9959,17.648298,2615,58,32,0,10987.2,22948000
1981,jeep,jeep j10,renault,5174.3164,24.256962,3724,110,15,5,15188.25,22948000
1981,jeep,jeep j20,renault,1341.6837,27.094088,4335,145,13,5,16135.05,22948000
1981,mazda,mazda pickup,mazda,16798,14.192141,2615,77,31,0,11824.32,22948000
1981,nissan,nissan pickup,nissan,119684,17.14786,2500,103,31,0,10713.6,22948000
1981,peugeot,peugeot 505 turbodiesel,peugeot,9248,33.831768,3250,80,32,0,10529.88,22948000
1981,peugeot,peugeot 505/504 diesel,peugeot,4618,30.391251,3300,71,31,2,11858.4,22948000
1981,plymouth,plymouth arrow,chrysler,8727,16.016659,2520,90,22,2,11186.76,22948000
1981,subaru,subaru brat,subaru,5553,15.245148,2200,71,29,3,9344.1602,22948000
1981,toyota,toyota pickup,toyota,120963,15.789897,2530,100,24,0,10077.79,22948000
1982,chevrolet,chevrolet el camino,gm,22732,22.562267,3748,115,19,4,14495.04,23412000
1982,chevrolet,chevrolet light conventional,gm,393277,24.639952,4039,130,16,0,16827.439,23412000
1982,chevrolet,chevrolet s10,gm,177758,16.48885,2500,82,28,0,11529.54,23412000
1982,dodge,dodge d150,chrysler,58380,21.393265,3405,90,19,10,15343.5,23412000
1982,dodge,dodge d250,chrysler,5132,23.777933,3855,90,19,10,16933.5,23412000
1982,dodge,dodge d350,chrysler,4916,25.894911,4045,140,14,10,16933.5,23412000
1982,dodge,dodge ram-50,chrysler,34614,15.879789,2500,90,19,3,11999,23412000
1982,dodge,dodge rampage,chrysler,17067,18.188326,2295,84,25,0,12264.48,23412000
1982,dodge,dodge w150,chrysler,7230,21.393265,3985,90,17,2,15423,23412000
1982,dodge,dodge w250,chrysler,1888,23.777933,4365,120,14,2,17013,23412000
1982,dodge,dodge w350,chrysler,2447,25.894911,4410,140,12,2,16933.5,23412000
1982,ford,ford courier,ford,32967,16.432365,2543.5,77,27,5,11276.11,23412000
1982,ford,ford f100,ford,108096,20.997866,3390,115,20,2,14498.16,23412000
1982,ford,ford f150,ford,183606,21.953207,3605,115,19,2,14664.14,23412000
1982,ford,ford f250,ford,69482,23.537256,4020,115,17,2,16080.76,23412000
1982,ford,ford f350,ford,28805,26.558002,4350,115,17,2,16080.76,23412000
1982,gmc,gmc caballero,gm,2573,22.562267,3748,115,19,4,14495.04,23412000
1982,gmc,gmc light conventional,gm,109762,24.639952,3999,130,16,0,16827.439,23412000
1982,gmc,gmc s15 pickup,gm,39359,16.48885,2500,82,28,0,11529.54,23412000
1982,isuzu,isuzu pickup,gm,17669,17.790472,2615,58,32,2,10987.2,23412000
1982,jeep,jeep light conventional,renault,5562,27.164606,4029.5,127.5,15.5,0,15661.65,23412000
1982,mazda,mazda pickup,mazda,41005,14.968654,2595,77,27,2,11781,23412000
1982,nissan,nissan pickup,nissan,106569,15.81348,2815,103,26,2,11666.515,23412000
1982,plymouth,plymouth arrow,chrysler,5394,15.879789,2500,90,21,3,11999,23412000
1982,subaru,subaru brat,subaru,6909,16.501129,2220,71,27,4,10902.92,23412000
1982,toyota,toyota pickup,toyota,142205,18.316032,2530,100,24,4,10077.79,23412000
1982,volkswagen,volkswagen pickup,volkswagen,8644,28.09539,2500,74,27,3,10948,23412000
1983,chevrolet,chevrolet el camino,gm,24010,22.470581,3748,110,19,5,14495.04,23568000
1983,chevrolet,chevrolet light conventional,gm,412533,21.813879,4039,130,16,1,16859.279,23568000
1983,chevrolet,chevrolet s10 pickup,gm,182692,16.515068,2500,82.5,25,0,11529.54,23568000
1983,dodge,dodge ram pickup,chrysler,85636,23.665014,3855,90,19,0,16933.5,23568000
1983,dodge,dodge ram-50,chrysler,33141,16.76133,2836,90,24.5,4,11986,23568000
1983,dodge,dodge rampage,chrysler,10297,17.688087,2295,44,26,1,12264.48,23568000
1983,ford,ford light conventional,ford,453108,22.829863,3530,115,17,0,15289.46,23568000
1983,ford,ford ranger,ford,187524,16.051094,2527,74,27,0,11747.64,23568000
1983,gmc,gmc caballero,gm,2160,22.470581,3748,110,19,5,14495.04,23568000
1983,gmc,gmc light conventional,gm,105741,24.281265,3999,130,17,1,16859.279,23568000
1983,gmc,gmc s15 pickup,gm,40491,26.879515,2500,82,27,1,11529.54,23568000
1983,isuzu,isuzu p'up,gm,26211,15.488378,2512.5,70,29.5,2,10987.2,23568000
1983,jeep,jeep light conventional,renault,4263,27.389887,4029.5,145,15.5,1,15661.65,23568000
1983,jeep,jeep scrambler,renault,4678,18.792105,2684,86,21,0,11029.17,23568000
1983,mazda,mazda pickup,mazda,76150,14.502137,2590,77,31,3,12033,23568000
1983,mitsubishi,mitsubishi pickup,mitsubishi,7701,18.544653,2628,85,34,0,11986,23568000
1983,nissan,nissan pickup,nissan,125640,19.712914,2720,103,31,3,11594,23568000
1983,nissan,nissan pulsar nx,nissan,48659,17.604809,1901,69,33,0,8791.2402,23568000
1983,peugeot,peugeot 505,peugeot,14791,33.578575,3135,88.5,24.5,4,10529.88,23568000
1983,peugeot,peugeot 604,peugeot,450,47.063541,3500,80,27,8,10826.49,23568000
1983,plymouth,plymouth scamp,chrysler,2618,17.688087,2295,94,26,0,12264.48,23568000
1983,subaru,subaru brat,subaru,5897,16.448446,2175,73,27,5,9565.4502,23568000
1983,toyota,toyota pickup,toyota,171052,17.745192,2530,100,24,0,10077.79,23568000
1983,volkswagen,volkswagen diesel pickup,volkswagen,2842,16.976662,2500,63,27,0,10703.88,23568000
1983,volkswagen,volkswagen pickup,volkswagen,2025,16.976662,2500,78,27,4,10703.88,23568000
1984,chevrolet,chevrolet el camino,gm,22997,21.197241,3901,107.5,20.5,6,14495.04,24164000
1984,chevrolet,chevrolet light conventional,gm,461258,23.24439,4437,115,15,2,16795.6,24164000
1984,chevrolet,chevrolet s10 pickup,gm,187065,16.17522,2619,82.5,25.5,1,11529.54,24164000
1984,dodge,dodge ram pickup,chrysler,134264,22.550596,4005,90,16,1,15661.5,24164000
1984,dodge,dodge ram-50,chrysler,51298,17.436146,2536.5,90,25,5,11036.34,24164000
1984,dodge,dodge rampage,chrysler,10260,16.964867,2325,94,25.5,2,12264.48,24164000
1984,ford,ford light conventional,ford,540885,23.050402,3970,120,17,1,16080.76,24164000
1984,ford,ford ranger,ford,220687,16.801689,2587,74,27,1,11747.64,24164000
1984,gmc,gmc caballero,gm,2702,21.197241,3901,107.5,20.5,6,14495.04,24164000
1984,gmc,gmc light conventional,gm,121704,23.24439,4437,115,15,2,16795.6,24164000
1984,gmc,gmc s15 pickup,gm,43742,16.928352,2761,83,23.5,2,11529.54,24164000
1984,isuzu,isuzu pickup,gm,37443,17.65638,2627.5,72,30,4,10995.92,24164000
1984,jeep,jeep pickup,renault,3404,22.6784,4029.5,112,15,0,15780,24164000
1984,jeep,jeep scrambler,renault,2826,15.964114,2684,86,23,1,10852.86,24164000
1984,mazda,mazda,mazda,119127,13.910118,2590,78,32,0,12033,24164000
1984,mitsubishi,mitsubishi pickup,mitsubishi,14943,20.743078,2844,90,26,1,11986,24164000
1984,nissan,nissan,nissan,108562,16.76289,3050,103,31,0,11456.64,24164000
1984,nissan,nissan pickup,nissan,95162,19.147808,2735,103,25,4,11855.8,24164000
1984,subaru,subaru brat,subaru,4496,20.347115,2325,84,27,6,11218.48,24164000
1984,toyota,toyota pickup,toyota,245616,16.929493,3530,100,27.5,1,11200.407,24164000
1985,chevrolet,chevrolet el camino,gm,21816,20.893377,3901,130,17,7,14495.04,24716000
1985,chevrolet,chevrolet light conventional,gm,476048,22.976875,4437,115,15,3,16795.6,24716000
1985,chevrolet,chevrolet s10 pickup,gm,210051,15.930883,2673,87,23,2,12001.85,24716000
1985,dodge,dodge ram pickup,chrysler,160574,22.719055,4005,90,16,2,15661.5,24716000
1985,dodge,dodge ram-50,chrysler,66745,16.784777,2530,90,22,6,11986,24716000
1985,ford,ford light conventional,ford,562507,23.344875,3970,120,17,2,16080.76,24716000
1985,ford,ford ranger,ford,247042,16.696632,2587,90,26,2,11747.64,24716000
1985,gmc,gmc caballero,gm,2605,20.893377,3901,130,17,7,14495.04,24716000
1985,gmc,gmc light conventional,gm,121434,22.976875,4437,115,15,3,16795.6,24716000
1985,gmc,gmc s15 pickup,gm,46953,15.930883,2673,87,23,3,12001.85,24716000
1985,isuzu,isuzu pickup,gm,52305,18.045231,2709,82,23,5,12083.65,24716000
1985,jeep,jeep pickup,renault,1974,24.322168,4029.5,112,12.5,1,15780,24716000
1985,jeep,jeep scrambler,renault,1414,16.046572,2684,86,19,2,10852.86,24716000
1985,mazda,mazda pickup,mazda,107602,14.091984,2710,80,22,5,12726.09,24716000
1985,mitsubishi,mitsubishi pickup,mitsubishi,21430,16.745111,2723,88,23,2,12078.2,24716000
1985,nissan,nissan pickup,nissan,130862,19.600969,2720,103,21,5,11405.66,24716000
1985,subaru,subaru brat,subaru,4128,17.46789,2245,73,26,7,11392.68,24716000
1985,toyota,toyota pickup,toyota,275374,17.38195,2760,116,23,2,11745.58,24716000
1986,chevrolet,chevrolet el camino,gm,21508,21.932323,3236.5,130,17,8,14495.04,25384000
1986,chevrolet,chevrolet light conventional,gm,442552,23.760286,4364,115,15,4,16891.119,25384000
1986,chevrolet,chevrolet s10 pickup,gm,203416,16.277634,2645,92,23,3,11529.54,25384000
1986,dodge,dodge ram pickup,chrysler,106451,24.160255,3940.5,90,16.5,3,16758.6,25384000
1986,dodge,dodge ram-50,chrysler,78706,16.168453,2745,108,19.5,7,11976.78,25384000
1986,ford,ford light conventional,ford,544969,24.7094,4019,120,16,3,14830.12,25384000
1986,ford,ford ranger,ford,269490,17.211615,2800,88,23,3,11747.64,25384000
1986,gmc,gmc caballero,gm,2542,21.932323,3236.5,130,17,8,14495.04,25384000
1986,gmc,gmc light conventional,gm,112799,23.760286,4364,115,15,4,16891.119,25384000
1986,gmc,gmc s15 pickup,gm,46084,16.277634,2645,92,23,4,11529.54,25384000
1986,isuzu,isuzu pickup,gm,51827,17.401869,2760,92,25,6,12064.5,25384000
1986,jeep,jeep comanche,renault,33386,16.969471,3009.5,117,23.5,0,14017.35,25384000
1986,jeep,jeep pickup,renault,1515,25.217468,4098,112,13.5,2,16253.4,25384000
1986,mazda,mazda pickup,mazda,157127,14.906931,2720,80,22,6,12726.09,25384000
1986,mitsubishi,mitsubishi mighty max,mitsubishi,23348,13.531904,2515,88,23,0,11986,25384000
1986,mitsubishi,mitsubishi pickup,mitsubishi,28312,17.672119,2793,106,20,3,12078.2,25384000
1986,nissan,nissan,nissan,96827,18.158566,3052.5,106,20,2,12492.5,25384000
1986,nissan,nissan pickup,nissan,119403,18.258018,2723,103,22,6,11855.8,25384000
1986,subaru,subaru brat,subaru,4142,16.82678,2205,73,26,8,11392.68,25384000
1986,toyota,toyota pickup,toyota,320661,19.19416,2922.5,116,21,3,12205.83,25384000
1987,chevrolet,chevrolet el camino,gm,13743,23.01549,3236.5,130,18,9,14495.04,25792000
1987,chevrolet,chevrolet light conventional,gm,417670,24.428604,4364,185,12,5,16891.119,25792000
1987,chevrolet,chevrolet s10 pickup,gm,224807,16.679947,2658,98,22,4,11529.54,25792000
1987,dodge,dodge dakota,chrysler,99045,19.249622,3186,110,19,0,12715.56,25792000
1987,dodge,dodge ram pickup,chrysler,97670,26.134768,4098,120,15,4,16758.6,25792000
1987,dodge,dodge ram-50,chrysler,65593,17.597689,2887.5,109,19.5,8,12075.04,25792000
1987,ford,ford light conventional,ford,550125,26.109739,4019,150,16,4,16605.801,25792000
1987,ford,ford ranger,ford,305295,19.220421,2800,90,23,4,11747.64,25792000
1987,gmc,gmc caballero,gm,1705,23.01549,3236.5,130,18,9,14495.04,25792000
1987,gmc,gmc light conventional,gm,115839,24.428604,4364,185,12,5,16891.119,25792000
